CODE,NAME,SCIENTIFIC_NAME,TYPE_CODE,CAS_REGISTRY_NUM,CFR_SECTION_REF_CD,REPORTABLE_STR_DAT,REPORTABLE_END_DAT,STATE_CLASS_CODE
2263,TETRAHYDROFURAN,,OC,109-99-9,,,,VOC
2264,FLUORENE,,OC,86-73-7,,,,VOC
2265,ACRYLAMIDE,,OC,79-06-1,,,,VOC
2266,"2,6-DINITROTOLUENE",,OC,606-20-2,,,,VOC
2267,PROPHOS,,OC,122-42-9,,,,VOC
2268,"1,2-DIPHENYLHYDRAZINE",,OC,122-66-7,,,,VOC
2269,2-HEXANONE,METHYL N-BUTYL KETONE,OC,591-78-6,,,,VOC
2270,"2,4-DINITROTOLUENE",,OC,121-14-2,,,,VOC
2271,TEBUTHIURON,,OC,34014-18-1,,,,VOC
2272,TERBACIL,,OC,5902-51-2,,,,VOC
2273,TRANS-NONACHLOR,,OC,39765-80-5,,,,VOC
2274,HEXACHLOROBENZENE,,OC,118-74-1,141.61.c,1/30/1991,12/31/1992,SOC
2275,TRANS-PERMETHRIN,BIOPERMETHRIN,OC,61949-77-7,,,,VOC
2276,4-BROMOPHENYL PHENYL ETHER,,OC,101-55-3,,,,VOC
2277,4-METHYL-2-PENTANONE,,OC,108-10-1,,,,VOC
2278,PHENANTHRENE,,OC,85-01-8,,,,VOC
2280,ANTHRACENE,,OC,120-12-7,,,,VOC
2282,DIMETHYL PHTHALATE,,OC,131-11-3,,,,VOC
2283,LINURON,LOROX,OC,330-55-2,,,,VOC
2284,DIETHYL PHTHALATE,,OC,84-66-2,,,,VOC
2286,FLUORANTHENE,,OC,206-44-0,,,,VOC
2288,PYRENE,,OC,129-00-0,,,,VOC
2289,PROPANIL,"3',4'-DICHLOROPROPIONANILIDE",OC,,,,,VOC
2290,DI-N-BUTYL PHTHALATE,,OC,84-74-2,,,,VOC
2291,DIFLUBENZURON,,OC,,,,,SOC
2292,BENZIDINE,,OC,92-87-5,,,,VOC
2293,ETHYL METHACRYLATE,ETHYL 2-METHYLACRYLATE,OC,97-63-2,,,,VOC
2294,BUTYLBENZYL PHTHALATE,,OC,85-68-7,,,,VOC
2295,METHYL METHACRYLATE,,OC,80-62-6,,,,VOC
2296,CHRYSENE,,OC,218-01-9,,,,VOC
2297,FLUOMETURON,,OC,,,,,VOC
2298,BIS(2-ETHYLHEXYL) PHTHALATE,,OC,117-81-7,,,,VOC
2300,BENZO(A)ANTHRACENE,,OC,56-55-3,,,,VOC
2301,SIDURON,TUPERSAN,OC,,,,,VOC
2302,BENZO(B)FLUORANTHENE,,OC,205-99-2,,,,VOC
2303,THIDIAZURON,DROPP,OC,,,,,VOC
2304,BENZO(K)FLUORANTHENE,,OC,207-08-9,,,,VOC
2306,BENZO(A)PYRENE,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS),OC,50-32-8,141.61.c,1/30/1991,12/31/1992,SOC
2308,"IDENO(1,2,3-CD)PYRENE",,OC,193-39-5,,,,VOC
2310,"DIBENZO(A,H)ANTHRACENE",,OC,53-70-3,,,,VOC
2312,"BENZO(G,H,I)PERYLENE",,OC,191-24-2,,,,VOC
2314,N-NITROSODIMETHYLAMINE,,OC,62-75-9,,,,VOC
2315,1-METHYL-NAPHTHALENE,ALPHA-METHYL NAPHTHALENE,OC,,,,,VOC
2316,N-NITROSODI-N-PROPYLAMINE,,OC,621-64-7,,,,VOC
2318,4-CHLOROPHENYL PHENYL ETHER,,OC,7005-72-3,,,,VOC
2320,"3,3-DICHLOROBENZIDINE",,OC,91-94-1,,,,VOC
2324,BIS(CHLOROMETHYL) ETHER,,OC,542-88-1,,,,VOC
2325,PENTANE,N-PENTANE,OC,109-66-0,,,,VOC
2326,PENTACHLOROPHENOL,,OC,,141.61.c,,,SOC
2327,PENTACHLOROETHANE,,OC,76-01-7,,,,VOC
2328,"2,4-DINITROPHENOL",,OC,51-28-5,,,,VOC
2330,P-CHLORO-M-CRESOL,4-CHLORO-M-CRESOL,OC,59-50-7,,,,VOC
2332,"2,4,6-TRICHLOROPHENOL",,OC,88-06-2,,,,VOC
2334,"2,4-DICHLOROPHENOL",,OC,120-83-2,,,,VOC
2336,"2,4-DIMETHYLPHENOL",,OC,105-67-9,,,,DBP
2340,2-NITROPHENOL,,OC,88-75-5,,,,VOC
2342,4-NITROPHENOL,,OC,100-02-7,,,,VOC
2344,2-CHLOROPHENOL,,OC,95-57-8,,,,VOC
2346,"4,6-DINITRO-O-CRESOL",,OC,534-52-1,,,,VOC
2348,.ALPHA.-BHC,,OC,319-84-6,,,,VOC
2350,.BETA.-BHC,,OC,319-85-7,,,,VOC
2354,.DELTA.-BHC,,OC,319-86-8,,,,VOC
2356,ALDRIN,,OC,309-00-2,141.40.n,1/30/1991,,VOC
2365,ORTHO-PARA DDE,,OC,3424-82-6,,,,VOC
2367,ORTHO-PARA DDD,,OC,53-19-0,,,,VOC
2369,ORTHO-PARA DDT,,OC,789-02-6,,,,VOC
2370,KELTHANE,DICOFAL,OC,115-32-2,,,,VOC
2371,TEDION,,OC,116-29-0,,,,VOC
2372,ENDRIN ALDEHYDE,,OC,7421-93-4,,,,VOC
2374,KEROSENE,,OC,8008-20-6,,,,VOC
2376,N-HEXANE,CYCLOHEXANE = 110-54-3,OC,110-54-3,,,,VOC
2377,"1,3,5-TRICHLOROBENZENE",,OC,108-70-3,,,,VOC
2378,"1,2,4-TRICHLOROBENZENE",,OC,120-82-1,141.61.a,1/1/1988,12/31/1992,VOC
2380,"CIS-1,2-DICHLOROETHYLENE",,OC,156-59-2,141.61.a,1/1/1988,12/31/1992,VOC
2383,TOTAL POLYCHLORINATED BIPHENYLS (PCB),DECACHLOROBIPHENYL,OC,1336-36-3,141.61.c,,,SOC
2384,DECACHLOROBIPHENYL,,OC,2051-24-3,,,,VOC
2388,AROCLOR 1016,,OC,12674-11-2,,,,VOC
2390,AROCLOR 1221,,OC,11104-28-2,,,,VOC
2392,AROCLOR 1232,,OC,11141-16-5,,,,VOC
2394,AROCLOR 1242,,OC,53469-21-9,,,,VOC
2396,AROCLOR 1248,,OC,12672-29-6,,,,VOC
2398,AROCLOR 1254,,OC,11097-69-1,,,,VOC
2399,PCB 1262,,OC,37324-23-5,,,,VOC
2400,AROCLOR 1260,,OC,11096-82-5,,,,VOC
2401,"DICHLOROBENZENES, TOTAL",,OC,25321-22-6,,,,VOC
2402,ALLYL CHLORIDE,3-CHLORO-1-PROPENE,OC,107-05-1,,,,VOC
2408,DIBROMOMETHANE,METHYLENE DIBROMIDE,OC,74-95-3,141.40.e,1/1/1988,,VOC
